

 
Date,Batter,Tm,Opp,Pitcher,WPA,RE24,LI
1973-04-06,Jim Wynn,HOU,@ATL,Gary Gentry\batter_vs_pitcher.cgi?pitcher=gentrga01&batter=wynnji01,0.16,1.00,1.45
1973-04-06,Brooks Robinson,BAL,MIL,Jim Colborn\batter_vs_pitcher.cgi?pitcher=colboji01&batter=robinbr01,0.20,2.52,1.70
1973-04-06,Don Baylor,BAL,MIL,Bill Champion\batter_vs_pitcher.cgi?pitcher=champbi01&batter=baylodo01,0.00,1.00,.00
1973-04-06,Brooks Robinson,BAL,MIL,Bill Champion\batter_vs_pitcher.cgi?pitcher=champbi01&batter=robinbr01,0.00,1.00,.00
1973-04-06,Carl Yastrzemski,BOS,NYY,Mel Stottlemyre\batter_vs_pitcher.cgi?pitcher=stottme01&batter=yastrca01,0.08,1.00,.35
1973-04-06,Carlton Fisk,BOS,NYY,Mel Stottlemyre\batter_vs_pitcher.cgi?pitcher=stottme01&batter=fiskca01,0.19,1.74,1.29
1973-04-06,Graig Nettles,NYY,@BOS,Luis Tiant\batter_vs_pitcher.cgi?pitcher=tiantlu01&batter=nettlgr01,0.10,1.00,.42
1973-04-06,Carlton Fisk,BOS,NYY,Lindy McDaniel\batter_vs_pitcher.cgi?pitcher=mcdanli01&batter=fiskca01,0.05,2.69,.71
1973-04-06,Frank Robinson,CAL,KCR,Steve Busby\batter_vs_pitcher.cgi?pitcher=busbyst01&batter=robinfr02,0.12,1.00,.92
1973-04-06,Cleon Jones,NYM,PHI,Steve Carlton\batter_vs_pitcher.cgi?pitcher=carltst01&batter=jonescl01,0.24,1.79,1.49
1973-04-06,Cleon Jones,NYM,PHI,Steve Carlton\batter_vs_pitcher.cgi?pitcher=carltst01&batter=jonescl01,0.05,1.00,.36
1973-04-06,Tony Oliva,MIN,@OAK,Catfish Hunter\batter_vs_pitcher.cgi?pitcher=hunteca01&batter=olivato01,0.15,1.60,1.11
1973-04-06,Jim Holt,MIN,@OAK,Catfish Hunter\batter_vs_pitcher.cgi?pitcher=hunteca01&batter=holtji01,0.07,1.00,.36
1973-04-06,Larry Hisle,MIN,@OAK,Rob Gardner\batter_vs_pitcher.cgi?pitcher=gardnro01&batter=hislela01,0.06,1.00,.28
1973-04-06,Richie Hebner,PIT,STL,Bob Gibson\batter_vs_pitcher.cgi?pitcher=gibsobo01&batter=hebneri01,0.05,1.00,.62
